UserName,Handle,Timestamp,Comments,Likes,Retweets,Text,KeyWord,Sentiment
The New York Times,@nytimes,2021-12-07T03:30:05.000Z,"In Opinion

""It's hard not to hope for a day when the manifold reasons for ending the death penalty prevail and our criminal justice system becomes just a little more just,"" Margaret Renkl writes.
nytimes.com
Opinion | A Glimmer of Justice in Death Penalty States
The halting of executions and the guilty verdicts in the Ahmaud Arbery case have given us the slightest bit of hope for change.
19
29
120The New York Times
@nytimes
·
11h
In Opinion

""It's hard not to hope for a day when the manifold reasons for ending the death penalty prevail and our criminal justice system becomes just a little more just,"" Margaret Renkl writes.
nytimes.com
Opinion | A Glimmer of Justice in Death Penalty States
The halting of executions and the guilty verdicts in the Ahmaud Arbery case have given us the slightest bit of hope for change.
19
29
120",19,29,120, Opinion day ,-0.14745179063360883
The New York Times Retweeted,@EricDavisMiddVT,2021-12-07T01:58:32.000Z,"A preview of the issues likely to come up in Wednesday's video call between Biden and Putin.
@SangerNYT
 and 
@EricSchmittNYT
 report
nytimes.com
Biden Expected to Offer Warnings and Alternatives in Call With Putin
President Biden will hold a high-stakes video call with Vladimir V. Putin of Russia on Tuesday.
14
12
32The New York Times Retweeted",14,12,32, Wednesday Biden Putin Russia Tuesday ,0.012121212121212116
The New York Times,@nytimes,2021-12-07T03:20:08.000Z,"A 73-year-old volunteer died on Saturday after she was repeatedly rammed by a sheep while working at a Massachusetts farm that uses animals in mental health therapy, the authorities said.
nytimes.com
Volunteer Dies After a Sheep Charges at Her on a Therapy Farm
Kim Taylor, 73, went into cardiac arrest after being attacked while caring for livestock at a Massachusetts farm, the police said.
69
94
239The New York Times
@nytimes
·
11h
A 73-year-old volunteer died on Saturday after she was repeatedly rammed by a sheep while working at a Massachusetts farm that uses animals in mental health therapy, the authorities said.
nytimes.com
Volunteer Dies After a Sheep Charges at Her on a Therapy Farm
Kim Taylor, 73, went into cardiac arrest after being attacked while caring for livestock at a Massachusetts farm, the police said.
69
94
239",69,94,239, year Saturday Massachusetts ,-0.03766233766233767
The New York Times,@nytimes,2021-12-07T00:30:15.000Z,"Money from Jeffrey Epstein once went to an entity called Air Ghislaine, a JPMorgan executive testified in Ghislaine Maxwell’s sex-trafficking trial on Monday. The money was used to buy a helicopter used mainly to travel between two Caribbean islands.
nytimes.com
A company called Air Ghislaine bought a helicopter with $7 million of Jeffrey Epstein’s money.
18
68
173The New York Times
@nytimes
·
14h
Money from Jeffrey Epstein once went to an entity called Air Ghislaine, a JPMorgan executive testified in Ghislaine Maxwell’s sex-trafficking trial on Monday. The money was used to buy a helicopter used mainly to travel between two Caribbean islands.
nytimes.com
A company called Air Ghislaine bought a helicopter with $7 million of Jeffrey Epstein’s money.
18
68
173",18,68,173, Epstein JPMorgan Maxwell Monday two Caribbean ,0.15656565656565655
The New York Times,@nytimes,2021-12-07T00:15:07.000Z,"Drake's withdrawal from the 2022 Grammy Awards is the latest complication for the Recording Academy, which has struggled to prevent an exodus among artists who have complained about a poor win record for Black artists in the most prestigious categories. https://nyti.ms/3opXju1
103
205
1KThe New York Times
@nytimes
·
15h
Drake's withdrawal from the 2022 Grammy Awards is the latest complication for the Recording Academy, which has struggled to prevent an exodus among artists who have complained about a poor win record for Black artists in the most prestigious categories. https://nyti.ms/3opXju1
103
205
1K",103,205,1K, Black K ,0.15407925407925407
The New York Times Retweeted,@davidenrich,2021-12-06T23:02:54.000Z,"New: With the SEC investigating the financing of Trump's media venture, we have new information that suggests the deal skirted securities laws. with 
@MattGoldstein26
 @mschwirtz
 @PreetaTweets
nytimes.com
Trump’s Media Company Is Investigated Over Financing Deal
A financing company told investors that it wasn’t in deal talks, weeks after its C.E.O. held a private videoconference about a possible deal with Donald Trump.
85
366
830The New York Times Retweeted",85,366,830, SEC Trump weeks ,0.051515151515151514
The New York Times,@nytimes,2021-12-07T00:00:02.000Z,"Researchers in South Africa say the Omicron variant is spreading quickly but causing less serious disease. It is unclear whether that will hold true.
nytimes.com
Omicron Is Fast Moving, but Perhaps Less Severe, Early Reports Suggest
Researchers in South Africa, where the variant is spreading quickly, say it may cause less serious Covid cases than other forms of the virus, but it is unclear whether that will hold true.
39
73
203The New York Times
@nytimes
·
15h
Researchers in South Africa say the Omicron variant is spreading quickly but causing less serious disease. It is unclear whether that will hold true.
nytimes.com
Omicron Is Fast Moving, but Perhaps Less Severe, Early Reports Suggest
Researchers in South Africa, where the variant is spreading quickly, say it may cause less serious Covid cases than other forms of the virus, but it is unclear whether that will hold true.
39
73
203",39,73,203, Africa Omicron Covid ,0.03545454545454545
The New York Times,@nytimes,2021-12-06T23:45:02.000Z,"Chris Cuomo will end his daily SiriusXM radio program, two days after he was fired by CNN after an allegation of workplace sexual misconduct and amid an inquiry into his efforts to aid his brother, former Gov. Andrew Cuomo of New York.
nytimes.com
Chris Cuomo says he will end his radio show, two days after CNN firing.
The anchor was dismissed by CNN over the weekend amid an inquiry over help he gave his brother and after an allegation of sexual misconduct, which he denies.
55
64
217The New York Times
@nytimes
·
15h
Chris Cuomo will end his daily SiriusXM radio program, two days after he was fired by CNN after an allegation of workplace sexual misconduct and amid an inquiry into his efforts to aid his brother, former Gov. Andrew Cuomo of New York.
nytimes.com
Chris Cuomo says he will end his radio show, two days after CNN firing.
The anchor was dismissed by CNN over the weekend amid an inquiry over help he gave his brother and after an allegation of sexual misconduct, which he denies.
55
64
217",55,64,217, daily two days CNN weekend ,0.21900826446280988
The New York Times,@nytimes,2021-12-06T23:30:05.000Z,"Rep. Devin Nunes of California will resign from Congress after 19 years to become chief executive officer of Donald Trump's new media and technology company.
nytimes.com
Devin Nunes Will Quit the House to Take Over Trump’s Media Company
The California Republican, who emerged as one of Donald J. Trump’s most pugnacious defenders, chose a Trump media firm over a potentially powerful new post in Congress.
319
156
553The New York Times
@nytimes
·
15h
Rep. Devin Nunes of California will resign from Congress after 19 years to become chief executive officer of Donald Trump's new media and technology company.
nytimes.com
Devin Nunes Will Quit the House to Take Over Trump’s Media Company
The California Republican, who emerged as one of Donald J. Trump’s most pugnacious defenders, chose a Trump media firm over a potentially powerful new post in Congress.
319
156
553",319,156,553, California Congress years Trump House Republican one ,0.17107438016528925
The New York Times,@nytimes,2021-12-06T23:15:04.000Z,"Breaking News: The Justice Department closed an investigation into the murder of Emmett Till, saying it could not pursue charges against a central witness.
nytimes.com
Justice Department Closes Emmett Till Investigation Without Charges
The department said it could not corroborate a book’s claim that a central witness had recanted her statements about Emmett, a Black teenager killed by two white men in 1955.
62
228
295The New York Times
@nytimes
·
16h
Breaking News: The Justice Department closed an investigation into the murder of Emmett Till, saying it could not pursue charges against a central witness.
nytimes.com
Justice Department Closes Emmett Till Investigation Without Charges
The department said it could not corroborate a book’s claim that a central witness had recanted her statements about Emmett, a Black teenager killed by two white men in 1955.
62
228
295",62,228,295, Emmett Black two ,-0.0613053613053613
The New York Times,@nytimes,2021-12-06T23:00:19.000Z,"Taylor Swift, Jack Antonoff and Annie Clark, better known as St. Vincent, were pulled from this year's Grammy Award nominations as songwriters on Olivia Rodrigo's ""Sour,"" which is up for album of the year. Here's why.
nytimes.com
Grammys Remove Taylor Swift and Others From Olivia Rodrigo Nomination
Swift, Jack Antonoff and St. Vincent are credited on “Sour,” but the awards don’t count interpolations — rerecorded quotations from other songs — toward album of the year consideration.
11
64
357The New York Times
@nytimes
·
16h
Taylor Swift, Jack Antonoff and Annie Clark, better known as St. Vincent, were pulled from this year's Grammy Award nominations as songwriters on Olivia Rodrigo's ""Sour,"" which is up for album of the year. Here's why.
nytimes.com
Grammys Remove Taylor Swift and Others From Olivia Rodrigo Nomination
Swift, Jack Antonoff and St. Vincent are credited on “Sour,” but the awards don’t count interpolations — rerecorded quotations from other songs — toward album of the year consideration.
11
64
357",11,64,357, year ,0.03181818181818181
The New York Times,@nytimes,2021-12-06T22:45:01.000Z,"If you're over 65, you are in the age group at highest risk for a serious Covid-19 case. We want to hear about how the virus has changed your life. Tell us your story.
nytimes.com
Are You an Older American Weathering the Pandemic? Share Your Story
We want to hear from you.
40
29
96The New York Times
@nytimes
·
16h
If you're over 65, you are in the age group at highest risk for a serious Covid-19 case. We want to hear about how the virus has changed your life. Tell us your story.
nytimes.com
Are You an Older American Weathering the Pandemic? Share Your Story
We want to hear from you.
40
29
96",40,29,96, American ,-0.02813852813852814
The New York Times,@nytimes,2021-12-06T22:30:09.000Z,"France is closing nightclubs for four weeks, officials said on Monday, saying that a large share of new infections were in young people, and that it was difficult to wear masks in clubs. https://nyti.ms/31qp513
44
171
497The New York Times
@nytimes
·
16h
France is closing nightclubs for four weeks, officials said on Monday, saying that a large share of new infections were in young people, and that it was difficult to wear masks in clubs. https://nyti.ms/31qp513
44
171
497",44,171,497, France four weeks Monday ,0.00418470418470418
The New York Times Retweeted,@juliebosman,2021-12-06T21:40:02.000Z,"How has age shaped the way you're living through the pandemic? Readers who are 65 and older, we want to hear from you.
nytimes.com
Are You an Older American Weathering the Pandemic? Share Your Story
We want to hear from you.
12
28
37The New York Times Retweeted",12,28,37, American ,0.11742424242424242
The New York Times,@nytimes,2021-12-06T20:30:11.000Z,"Cattle bellowed in fear, chest-deep in icy waters as near-record flooding in Washington State demolished homes and damaged equipment. Jordan Baumgardner, who runs 260 milk cows, said the sound still haunts him.
nytimes.com
‘Just Total Chaos’: Floods Bring Death and Devastation to Dairies
Near-record flooding in Washington State drowned cattle, demolished homes and damaged equipment. Broken supply chains are making it even harder to recover.
5
20
87The New York Times
@nytimes
·
18h
Cattle bellowed in fear, chest-deep in icy waters as near-record flooding in Washington State demolished homes and damaged equipment. Jordan Baumgardner, who runs 260 milk cows, said the sound still haunts him.
nytimes.com
‘Just Total Chaos’: Floods Bring Death and Devastation to Dairies
Near-record flooding in Washington State drowned cattle, demolished homes and damaged equipment. Broken supply chains are making it even harder to recover.
5
20
87",5,20,87, Washington ,-0.03566433566433566
The New York Times,@nytimes,2021-12-06T20:20:04.000Z,"Toyota said on Monday that it planned to build a factory to make electric car batteries in Greensboro, North Carolina. Until recently, the automaker had resisted a big investment in electric vehicles.
nytimes.com
Toyota will spend $1.3 billion on a N.C. electric car battery plant.
The plant, which will employ 1,750 people, will be located outside of Greensboro.
12
91
311The New York Times
@nytimes
·
18h
Toyota said on Monday that it planned to build a factory to make electric car batteries in Greensboro, North Carolina. Until recently, the automaker had resisted a big investment in electric vehicles.
nytimes.com
Toyota will spend $1.3 billion on a N.C. electric car battery plant.
The plant, which will employ 1,750 people, will be located outside of Greensboro.
12
91
311",12,91,311, Toyota Monday Greensboro ,0.01948051948051948
The New York Times,@nytimes,2021-12-06T20:10:03.000Z,"The U.S. began requiring international travelers on Monday to provide a negative Covid test taken no more than a day before departure, instead of 72 hours. The requirement may be difficult to meet because it can take more than a day to receive results.
nytimes.com
Stricter coronavirus testing rules take effect for travelers flying to the U.S.
Inbound travelers must now show a negative result from a test taken no more than a day before departure, a requirement some say may be hard to satisfy.
42
105
204The New York Times
@nytimes
·
19h
The U.S. began requiring international travelers on Monday to provide a negative Covid test taken no more than a day before departure, instead of 72 hours. The requirement may be difficult to meet because it can take more than a day to receive results.
nytimes.com
Stricter coronavirus testing rules take effect for travelers flying to the U.S.
Inbound travelers must now show a negative result from a test taken no more than a day before departure, a requirement some say may be hard to satisfy.
42
105
204",42,105,204, Monday Covid ,-0.15570409982174688
The New York Times,@nytimes,2021-12-06T20:00:10.000Z,"Exxon Mobil said it aims to achieve net-zero greenhouse gas emissions from its oil and gas fields in West Texas and New Mexico by 2030. The move does not include offsetting emissions from its customers, including car and truck owners or airlines.
nytimes.com
Exxon Mobil aims for net-zero emissions from its operations in the Permian Basin by 2030.
Exxon plans to reduce greenhouse gas emissions across its business, bit its goal does not include offsetting emissions from its customers, such as car and truck owners and airlines.
16
25
72The New York Times
@nytimes
·
19h
Exxon Mobil said it aims to achieve net-zero greenhouse gas emissions from its oil and gas fields in West Texas and New Mexico by 2030. The move does not include offsetting emissions from its customers, including car and truck owners or airlines.
nytimes.com
Exxon Mobil aims for net-zero emissions from its operations in the Permian Basin by 2030.
Exxon plans to reduce greenhouse gas emissions across its business, bit its goal does not include offsetting emissions from its customers, such as car and truck owners and airlines.
16
25
72",16,25,72, Exxon West Texas Mexico ,0.08181818181818182
The New York Times,@nytimes,2021-12-06T19:50:11.000Z,"Without Roe v. Wade, legislatures in 22 states would almost certainly move to ban or substantially restrict access to abortion. https://nyti.ms/3rCLe6Q
94
230
476The New York Times
@nytimes
·
19h
Without Roe v. Wade, legislatures in 22 states would almost certainly move to ban or substantially restrict access to abortion. https://nyti.ms/3rCLe6Q
94
230
476",94,230,476, Roe ,0.18831168831168832
The New York Times,@nytimes,2021-12-06T19:41:16.000Z,"Breaking News: The Justice Department sued Texas on Monday over the state's plan to redraw its voting districts, saying the new map would discriminate against Black and Latino voters, essentially making their votes count for less than fellow citizens'.
nytimes.com
Justice Dept. Files Voting Rights Suit Against Texas Over New Map
The department said the state’s redistricting plan would violate the Voting Rights Act by discriminating against minority voters.
63
212
1.1KThe New York Times
@nytimes
·
19h
Breaking News: The Justice Department sued Texas on Monday over the state's plan to redraw its voting districts, saying the new map would discriminate against Black and Latino voters, essentially making their votes count for less than fellow citizens'.
nytimes.com
Justice Dept. Files Voting Rights Suit Against Texas Over New Map
The department said the state’s redistricting plan would violate the Voting Rights Act by discriminating against minority voters.
63
212
1.1K",63,212,1.1K, Texas Monday Black K ,0.001377410468319558
The New York Times,@nytimes,2021-12-06T19:40:01.000Z,"A seasonal cyclone is expected to inundate parts of Hawaii with as much as 25 inches of rain through Tuesday afternoon, with the potential for ""catastrophic flooding,"" landslides and widespread power outages, the National Weather Service said.
nytimes.com
Hawaii Braces for More Rain as Storm Lashes Region
Some parts of the islands could see as much as 25 inches of rain through Tuesday, meteorologists said.
5
61
102The New York Times
@nytimes
·
19h
A seasonal cyclone is expected to inundate parts of Hawaii with as much as 25 inches of rain through Tuesday afternoon, with the potential for ""catastrophic flooding,"" landslides and widespread power outages, the National Weather Service said.
nytimes.com
Hawaii Braces for More Rain as Storm Lashes Region
Some parts of the islands could see as much as 25 inches of rain through Tuesday, meteorologists said.
5
61
102",5,61,102, Hawaii Tuesday afternoon meteorologists ,0.1578512396694215
The New York Times,@nytimes,2021-12-06T16:00:13.000Z,"La procrastinación no es un defecto del carácter o la inhabilidad para administrar el tiempo, sino una manera de enfrentar las emociones desafiantes.
nytimes.com
Procrastinar no es un asunto de holgazanería, sino de manejo de las emociones (Published 2019)
Postergar las tareas pendientes no es una incapacidad para administrar el tiempo, sino una manera de enfrentar las emociones desafiantes y estados de ánimo negativos generados por ciertas responsab...
8
50
118The New York Times
@nytimes
·
23h
La procrastinación no es un defecto del carácter o la inhabilidad para administrar el tiempo, sino una manera de enfrentar las emociones desafiantes.
nytimes.com
Procrastinar no es un asunto de holgazanería, sino de manejo de las emociones (Published 2019)
Postergar las tareas pendientes no es una incapacidad para administrar el tiempo, sino una manera de enfrentar las emociones desafiantes y estados de ánimo negativos generados por ciertas responsab...
8
50
118",8,50,118, un para sino ,0.13636363636363635
The New York Times,@nytimes,2021-12-06T15:55:07.000Z,"Breaking News: Three more hostages from a group of 17 missionaries kidnapped in Haiti were released, bringing the total number of people freed to five.
nytimes.com
Three of a Group of Missionaries Kidnapped in Haiti Have Been Released
The U.S. Christian aid group said three more people were released from a group of 17 that had been kidnapped by a gang in Haiti. Two had been released last month.
10
37
131The New York Times
@nytimes
·
23h
Breaking News: Three more hostages from a group of 17 missionaries kidnapped in Haiti were released, bringing the total number of people freed to five.
nytimes.com
Three of a Group of Missionaries Kidnapped in Haiti Have Been Released
The U.S. Christian aid group said three more people were released from a group of 17 that had been kidnapped by a gang in Haiti. Two had been released last month.
10
37
131",10,37,131, Three Haiti five Christian three Two ,0.19421487603305784
The New York Times,@nytimes,2021-12-06T15:53:26.000Z,"Families are suing Tesla over fatal crashes, and Tesla customers are suing the company for misrepresenting Autopilot and a set of sister services called Full Self Driving.

Read more:
nytimes.com
Inside Tesla as Elon Musk Pushed an Unflinching Vision for Self-Driving Cars
The automaker may have undermined safety in designing its Autopilot driver-assistance system to fit its chief executive’s vision, former employees say.
23
53
178The New York Times
@nytimes
·
23h
Families are suing Tesla over fatal crashes, and Tesla customers are suing the company for misrepresenting Autopilot and a set of sister services called Full Self Driving.

Read more:
nytimes.com
Inside Tesla as Elon Musk Pushed an Unflinching Vision for Self-Driving Cars
The automaker may have undermined safety in designing its Autopilot driver-assistance system to fit its chief executive’s vision, former employees say.
23
53
178",23,53,178, Tesla Autopilot Musk ,0.29292929292929293
